PID: 1, exec_ticks: 0, current tickets: 0
PID: 1, exec_ticks: 1, current tickets: 0
PID: 1, exec_ticks: 2, current tickets: 0
PID: 1, exec_ticks: 3, current tickets: 0
PID: 1, exec_ticks: 4, current tickets: 0
PID: 1, exec_ticks: 5, current tickets: 0
PID: 1, exec_ticks: 6, current tickets: 0
PID: 1, exec_ticks: 7, current tickets: 0
PID: 1, exec_ticks: 8, current tickets: 0
PID: 1, exec_ticks: 9, current tickets: 0
PID: 1, exec_ticks: 10, current tickets: 0
PID: 1, exec_ticks: 11, current tickets: 0
PID: 1, exec_ticks: 12, current tickets: 0
PID: 1, exec_ticks: 13, current tickets: 0
PID: 1, exec_ticks: 14, current tickets: 0
PID: 1, exec_ticks: 15, current tickets: 0
PID: 1, exec_ticks: 16, current tickets: 0
PID: 1, exec_ticks: 17, current tickets: 0
PID: 1, exec_ticks: 18, current tickets: 0
PID: 1, exec_ticks: 19, current tickets: 0
PID: 1, exec_ticks: 20, current tickets: 0
PID: 1, exec_ticks: 21, current tickets: 0
PID: 1, exec_ticks: 22, current tickets: 0
PID: 1, exec_ticks: 23, current tickets: 0
PID: 1, exec_ticks: 24, current tickets: 0
PID: 2, exec_ticks: 0, current tickets: 0
PID: 2, exec_ticks: 1, current tickets: 0
PID: 2, exec_ticks: 2, current tickets: 0
PID: 1, exec_ticks: 25, current tickets: 0
PID: 2, exec_ticks: 3, current tickets: 0
PID: 2, exec_ticks: 4, current tickets: 0
PID: 2, exec_ticks: 5, current tickets: 0
PID: 2, exec_ticks: 6, current tickets: 0
PID: 2, exec_ticks: 7, current tickets: 0
PID: 2, exec_ticks: 8, current tickets: 0
PID: 2, exec_ticks: 9, current tickets: 0
PID: 2, exec_ticks: 10, current tickets: 0
PID: 2, exec_ticks: 11, current tickets: 0
PID: 2, exec_ticks: 12, current tickets: 0
PID: 2, exec_ticks: 13, current tickets: 0
PID: 2, exec_ticks: 14, current tickets: 0
PID: 2, exec_ticks: 15, current tickets: 0
PID: 2, exec_ticks: 16, current tickets: 0
PID: 1, exec_ticks: 26, current tickets: 0
PID: 2, exec_ticks: 17, current tickets: 0
PID: 1, exec_ticks: 27, current tickets: 0
PID: 2, exec_ticks: 18, current tickets: 0
PID: 1, exec_ticks: 28, current tickets: 0
PID: 2, exec_ticks: 19, current tickets: 0
PID: 1, exec_ticks: 29, current tickets: 0
PID: 2, exec_ticks: 20, current tickets: 0
